NAME	TITLE	SCORE	
TMEM106A	transmembrane protein 106A [Source:HGNC Symbol;Acc:HGNC:28288]	1.0419569	
PIGU	phosphatidylinositol glycan anchor biosynthesis class U [Source:HGNC Symbol;Acc:HGNC:15791]	1.0340075	
BHLHE22	basic helix-loop-helix family member e22 [Source:HGNC Symbol;Acc:HGNC:11963]	1.029395	
EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	1.0290312	
ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	1.0262735	
CCL4L2	C-C motif chemokine ligand 4 like 2 [Source:HGNC Symbol;Acc:HGNC:24066]	1.019282	
ZBTB43	zinc finger and BTB domain containing 43 [Source:HGNC Symbol;Acc:HGNC:17908]	1.0165243	
PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	1.0148603	
MFHAS1	multifunctional ROCO family signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:16982]	1.013023	
CSRNP1	cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]	1.0114286	
STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	1.0106206	
SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	1.0086496	
TP53BP2	tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000]	1.007964	
HNRNPC	heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]	1.0068344	
IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	1.0019387	
PLEKHF2	pleckstrin homology and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20757]	1.0009742	
LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	0.99816036	
GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	0.9976376	
CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	0.9976264	
CMAHP	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene [Source:HGNC Symbol;Acc:HGNC:2098]	0.99649704	
C1QTNF1	C1q and TNF related 1 [Source:HGNC Symbol;Acc:HGNC:14324]	0.9947388	
LINC01215	long intergenic non-protein coding RNA 1215 [Source:HGNC Symbol;Acc:HGNC:49651]	0.9938675	
ELOVL7	ELOVL fatty acid elongase 7 [Source:HGNC Symbol;Acc:HGNC:26292]	0.986004	
TSLP	thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]	0.9845986	
CA5A	carbonic anhydrase 5A [Source:HGNC Symbol;Acc:HGNC:1377]	0.9753417	
PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	0.97156465	
N4BP1	NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29850]	0.96909183	
TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	0.96506554	
MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	0.9605006	
LINC01093	long intergenic non-protein coding RNA 1093 [Source:HGNC Symbol;Acc:HGNC:49218]	0.958259	
CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	0.95653963	
IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	0.95641494	
BLACE	B cell acute lymphoblastic leukemia expressed [Source:HGNC Symbol;Acc:HGNC:20484]	0.95445913	
IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	0.9541545	
OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	0.9527111	
TRIQK	triple QxxK/R motif containing [Source:HGNC Symbol;Acc:HGNC:27828]	0.95194876	
ATP2B1-AS1	ATP2B1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27883]	0.9459418	
CA13	carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]	0.94362724	
LYRM1	LYR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25074]	0.942762	
KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	0.9341185	
PHF11	PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024]	0.93407315	
IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	0.93254304	
ZFX	zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]	0.9279031	
LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	0.9266395	
DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	0.9240379	
LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	0.9212536	
MACC1	MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]	0.9186648	
DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	0.9167679	
IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	0.91575783	
FOCAD	focadhesin [Source:HGNC Symbol;Acc:HGNC:23377]	0.9152485	
UPB1	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	0.9147329	
RANBP3L	RAN binding protein 3 like [Source:HGNC Symbol;Acc:HGNC:26353]	0.9137028	
PIGA	phosphatidylinositol glycan anchor biosynthesis class A [Source:HGNC Symbol;Acc:HGNC:8957]	0.91369003	
CARD18	caspase recruitment domain family member 18 [Source:HGNC Symbol;Acc:HGNC:28861]	0.91228586	
ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	0.9105408	
LINC00917	long intergenic non-protein coding RNA 917 [Source:HGNC Symbol;Acc:HGNC:48607]	0.91010493	
AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	0.9095595	
KMO	kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]	0.9092818	
SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	0.90852576	
KMT2E	lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]	0.9081404	
ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	0.9078199	
HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	0.90775007	
KCNJ2-AS1	KCNJ2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43720]	0.90770656	
PNRC2	proline rich nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:23158]	0.8992458	
PARP15	poly(ADP-ribose) polymerase family member 15 [Source:HGNC Symbol;Acc:HGNC:26876]	0.89765805	
ZNF267	zinc finger protein 267 [Source:HGNC Symbol;Acc:HGNC:13060]	0.8966144	
STEAP1B	STEAP family member 1B [Source:HGNC Symbol;Acc:HGNC:41907]	0.89409965	
GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	0.8936907	
NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1 [Source:HGNC Symbol;Acc:HGNC:42400]	0.8900363	
ZC3HAV1	zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]	0.8895813	
RHCG	Rh family C glycoprotein [Source:HGNC Symbol;Acc:HGNC:18140]	0.8849673	
HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	0.8844235	
CAMK1G	calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]	0.8837377	
CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	0.88264173	
MCF2L2	MCF.2 cell line derived transforming sequence-like 2 [Source:HGNC Symbol;Acc:HGNC:30319]	0.8805971	
PI4K2B	phosphatidylinositol 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:18215]	0.87985337	
GYPC	glycophorin C (Gerbich blood group) [Source:HGNC Symbol;Acc:HGNC:4704]	0.87851596	
PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	0.8744198	
C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	0.8738818	
SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	0.8736188	
LAMP5-AS1	LAMP5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40754]	0.87302697	
PLGRKT	plasminogen receptor with a C-terminal lysine [Source:HGNC Symbol;Acc:HGNC:23633]	0.87291706	
F8A3	coagulation factor VIII associated 3 [Source:HGNC Symbol;Acc:HGNC:31850]	0.871554	
IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	0.8713828	
RAD18	RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	0.8710817	
F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	0.8701485	
SLC25A48	solute carrier family 25 member 48 [Source:HGNC Symbol;Acc:HGNC:30451]	0.8695641	
SLC44A3-AS1	SLC44A3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49057]	0.8695288	
SMCO4	single-pass membrane protein with coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:24810]	0.86926097	
UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	0.86601937	
TRIM5	tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]	0.8647687	
EIF1B	eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]	0.86475056	
FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	0.8613329	
GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	0.86101943	
SCNN1D	sodium channel epithelial 1 subunit delta [Source:HGNC Symbol;Acc:HGNC:10601]	0.86055636	
LINC02541	long intergenic non-protein coding RNA 2541 [Source:HGNC Symbol;Acc:HGNC:53574]	0.85872096	
BLM	BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]	0.85628057	
B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]	0.8542461	
MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	0.853566	
ACO1	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	0.85174966	
IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	0.8498645	
PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	0.8480049	
PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K [Source:HGNC Symbol;Acc:HGNC:25415]	0.8479634	
GBP3	guanylate binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4184]	0.84718513	
IFT74	intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424]	0.84255356	
ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	0.84237325	
RMI2	RecQ mediated genome instability 2 [Source:HGNC Symbol;Acc:HGNC:28349]	0.84177864	
RAB12	RAB12, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:31332]	0.84168917	
TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	0.8412966	
NAF1	nuclear assembly factor 1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:25126]	0.8396827	
SPMIP2	sperm microtubule inner protein 2 [Source:HGNC Symbol;Acc:HGNC:26342]	0.839514	
ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	0.839449	
IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	0.83726114	
C2CD4A	C2 calcium dependent domain containing 4A [Source:HGNC Symbol;Acc:HGNC:33627]	0.83609545	
BTG3-AS1	BTG3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53145]	0.83535707	
CSF3	colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	0.834683	
RBBP6	RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]	0.83418703	
LINC02426	long intergenic non-protein coding RNA 2426 [Source:HGNC Symbol;Acc:HGNC:53357]	0.8331971	
TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	0.8329887	
IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	0.8308371	
KCNH8	potassium voltage-gated channel subfamily H member 8 [Source:HGNC Symbol;Acc:HGNC:18864]	0.83004063	
DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	0.8295323	
DUSP8	dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]	0.82857084	
C2orf92	chromosome 2 open reading frame 92 [Source:HGNC Symbol;Acc:HGNC:49272]	0.82825047	
RHEBL1	RHEB like 1 [Source:HGNC Symbol;Acc:HGNC:21166]	0.82449275	
SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]	0.82349116	
PDSS1	decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]	0.8210619	
HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	0.81926906	
SLC9B1	solute carrier family 9 member B1 [Source:HGNC Symbol;Acc:HGNC:24244]	0.818997	
JRKL	JRK like [Source:HGNC Symbol;Acc:HGNC:6200]	0.8182655	
PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	0.8181377	
TMEM88	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	0.81607044	
OTP	orthopedia homeobox [Source:HGNC Symbol;Acc:HGNC:8518]	0.8133602	
NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	0.8118028	
FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	0.81134087	
TRIM45	tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]	0.8087285	
UXS1	UDP-glucuronate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:17729]	0.8075456	
GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	0.8059094	
PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	0.80555356	
NR5A2	nuclear receptor subfamily 5 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7984]	0.80165493	
TUBA8	tubulin alpha 8 [Source:HGNC Symbol;Acc:HGNC:12410]	0.8010992	
PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	0.80050486	
LINC00158	long intergenic non-protein coding RNA 158 [Source:HGNC Symbol;Acc:HGNC:1283]	0.79793805	
PPP4R2	protein phosphatase 4 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:18296]	0.79761106	
KLLN	killin, p53 regulated DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:37212]	0.79564726	
SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]	0.7938139	
ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	0.79155046	
EBF1	EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]	0.78947073	
PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	0.7890312	
ARMC2	armadillo repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:23045]	0.78775495	
HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	0.78645605	
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	0.7861577	
FAM117A	family with sequence similarity 117 member A [Source:HGNC Symbol;Acc:HGNC:24179]	0.7857683	
COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	0.7846531	
TNFRSF10B	TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]	0.7845722	
MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	0.78199744	
ETV3	ETS variant transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3492]	0.7812739	
SPSB1	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	0.78113204	
PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	0.78051203	
MYEOV	myeloma overexpressed [Source:HGNC Symbol;Acc:HGNC:7563]	0.77987754	
INHBA-AS1	INHBA antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40303]	0.77763575	
MMP20	matrix metallopeptidase 20 [Source:HGNC Symbol;Acc:HGNC:7167]	0.7772227	
PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]	0.7754009	
SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	0.77180356	
IFI16	interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]	0.7709698	
LINC00299	long intergenic non-protein coding RNA 299 [Source:HGNC Symbol;Acc:HGNC:27940]	0.7683654	
NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	0.7678984	
CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	0.76697797	
ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	0.7668457	
SAV1	salvador family WW domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:17795]	0.7655798	
CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	0.76483476	
SESTD1	SEC14 and spectrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18379]	0.7635113	
DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	0.76187146	
MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	0.76168126	
CHRNB2	cholinergic receptor nicotinic beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1962]	0.76150256	
RAB33A	RAB33A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9773]	0.7611693	
ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	0.7593911	
PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	0.7577238	
PRDM8	PR/SET domain 8 [Source:HGNC Symbol;Acc:HGNC:13993]	0.7568711	
DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	0.7568033	
SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	0.7557675	
RBM43	RNA binding motif protein 43 [Source:HGNC Symbol;Acc:HGNC:24790]	0.7543522	
PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	0.75429827	
UXT-AS1	UXT antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49239]	0.74700123	
DLEU1	deleted in lymphocytic leukemia 1 [Source:HGNC Symbol;Acc:HGNC:13747]	0.74578476	
NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	0.74521726	
MREG	melanoregulin [Source:HGNC Symbol;Acc:HGNC:25478]	0.74457335	
BAALC	BAALC binder of MAP3K1 and KLF4 [Source:HGNC Symbol;Acc:HGNC:14333]	0.7444624	
MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	0.7438658	
IL36B	interleukin 36 beta [Source:HGNC Symbol;Acc:HGNC:15564]	0.74327207	
BANP	BTG3 associated nuclear protein [Source:HGNC Symbol;Acc:HGNC:13450]	0.74299866	
PSTPIP2	proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581]	0.7427313	
LINC02265	long intergenic non-protein coding RNA 2265 [Source:HGNC Symbol;Acc:HGNC:53179]	0.74265665	
EPM2AIP1	EPM2A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735]	0.7396827	
